segmentation,segment_id,manual_id,loc,axon_len,dendrite_len
185,648518346349539892,149,[381172 234352  24960],76.705390625,3115.3945
185,648518346349539895,330,[308728 200992  58680],1944.2035,2339.4185
185,648518346349539896,278,[371416 226276  46600],81.28359375,3268.42475
185,648518346349539900,204,[273788 264120  31800],22.45997265625,2772.7745
185,648518346349539901,528,[238244 202728  85360],0.0,1592.35
185,648518346349539906,250,[238932 228672  41720],65.687796875,2475.5495
185,648518346349539934,312,[378640 264052  54000],38.79031640625,2663.8785
185,648518346349539961,74,[367228 235216  11680],74.3409296875,2330.873
185,648518346349540017,255,[404060 189520  44640],1763.89375,2379.262
185,648518346349540048,80,[349132 163492  11480],961.38525,1321.12425
185,648518346349540051,259,[444892 247424  47480],61.2435625,1999.6265
185,648518346349540053,102,[446104 253936  18320],56.5186171875,1612.3305
185,648518346349540055,139,[340468 248332  23400],46.96109375,3101.86975
185,648518346349540057,215,[415440 177540  35640],1526.21475,1829.5625
